sampled_path,sampling_type,size,pop_risk_nlcd_0.5,pop_risk_nlcd_0,pop_risk_nlcd_0.01,pop_risk_nlcd_0.1,pop_risk_nlcd_0.9,pop_risk_nlcd_0.99,pop_risk_nlcd_1,similarity
random_sample_1300_points_seed_1.pkl,random_sampling,1300,-0.052103005378654886,-0.027724348650071385,-0.028211921784643053,-0.03260007999578809,-0.0716059307615217,-0.07599408897266673,-0.07648166210723839,14731892.552734375
random_sample_2000_points_seed_1.pkl,random_sampling,2000,-0.042127531457771004,-0.02235509170049479,-0.02275054049564032,-0.026309579651950042,-0.057945483263591974,-0.061504522419901696,-0.06189997121504722,22702647.24951172
random_sample_1700_points_seed_1.pkl,random_sampling,1700,-0.04553614462770367,-0.024246432248443594,-0.024672226496028796,-0.02850437472429562,-0.06256791453111174,-0.06640006275937854,-0.06682585700696375,19286405.497558594
random_sample_300_points_seed_1.pkl,random_sampling,300,-0.10178413422920264,-0.0576390417704235,-0.05852194361959907,-0.06646806026217934,-0.1371002081962259,-0.1450463248388062,-0.14592922668798172,3387362.78125
random_sample_2100_points_seed_1.pkl,random_sampling,2100,-0.041061658506955444,-0.021816595214404266,-0.022201496480255288,-0.025665607872914505,-0.0564577091409964,-0.059921820533655606,-0.06030672179950663,23837089.53564453
random_sample_600_points_seed_1.pkl,random_sampling,600,-0.07496860575199746,-0.04079085082240021,-0.04147440592099216,-0.04762640180831967,-0.10231080969567527,-0.10846280558300277,-0.10914636068159472,6782283.3427734375
random_sample_1900_points_seed_1.pkl,random_sampling,1900,-0.04359601799722467,-0.022935538512984365,-0.02334874810266917,-0.02706763440983244,-0.06012440158461692,-0.06384328789178018,-0.06425649748146499,21563474.572753906
random_sample_1000_points_seed_1.pkl,random_sampling,1000,-0.059328049538369704,-0.0316069770620507,-0.03216139851157708,-0.0371511915573145,-0.0815049075194249,-0.08649470056516233,-0.08704912201468869,11317943.53515625
random_sample_2200_points_seed_1.pkl,random_sampling,2200,-0.03988006093026366,-0.021315227815974377,-0.02168652447826016,-0.025028194438832235,-0.05473192742169508,-0.05807359738226715,-0.058444894044552935,24974415.186035156
random_sample_200_points_seed_1.pkl,random_sampling,200,-0.12105185634240695,-0.07053456158585984,-0.07154490748099077,-0.08063802053716926,-0.16146569214764464,-0.17055880520382316,-0.17156915109895407,2246930.2421875
random_sample_500_points_seed_1.pkl,random_sampling,500,-0.08049456400043811,-0.04467670516087703,-0.04539306233766825,-0.05184027692878925,-0.10914885107208701,-0.11559606566320799,-0.11631242283999921,5664416.86328125
random_sample_1500_points_seed_1.pkl,random_sampling,1500,-0.04818615669109448,-0.025811286645983367,-0.02625878404688559,-0.03028626065500559,-0.06608605272718336,-0.07011352933530336,-0.07056102673620558,17002991.372558594
random_sample_1200_points_seed_1.pkl,random_sampling,1200,-0.05408729114191752,-0.028855492841238062,-0.02936012880725165,-0.03390185250137395,-0.07427272978246109,-0.0788144534765834,-0.07931908944259697,13592134.500976562
