filename,sample_size,seed,r2
random_sample_2500_points_seed_1.pkl,2500,1,0.8872227975988694
random_sample_2500_points_seed_1213.pkl,2500,1213,0.8844103512784555
random_sample_2500_points_seed_123.pkl,2500,123,0.8841833240844988
random_sample_2500_points_seed_1234.pkl,2500,1234,0.885266865943966
random_sample_2500_points_seed_1415.pkl,2500,1415,0.8845101767971124
random_sample_2500_points_seed_42.pkl,2500,42,0.8868416848740357
random_sample_2500_points_seed_456.pkl,2500,456,0.8835794882955319
random_sample_2500_points_seed_5678.pkl,2500,5678,0.8846377444696396
random_sample_2500_points_seed_789.pkl,2500,789,0.885672676952751
random_sample_2500_points_seed_9101.pkl,2500,9101,0.8889228462411551
random_sample_250_points_seed_1.pkl,250,1,0.7888348880253433
random_sample_250_points_seed_1213.pkl,250,1213,0.7974185618131086
random_sample_250_points_seed_123.pkl,250,123,0.7806568358338725
random_sample_250_points_seed_1234.pkl,250,1234,0.7838035885501835
random_sample_250_points_seed_1415.pkl,250,1415,0.7604103707578742
random_sample_250_points_seed_42.pkl,250,42,0.8063919216780981
random_sample_250_points_seed_456.pkl,250,456,0.7767109883877497
random_sample_250_points_seed_5678.pkl,250,5678,0.7980877485717679
random_sample_250_points_seed_789.pkl,250,789,0.7846014558273067
random_sample_250_points_seed_9101.pkl,250,9101,0.7916629525432717
random_sample_2600_points_seed_1.pkl,2600,1,0.8875666524468653
random_sample_2600_points_seed_1213.pkl,2600,1213,0.8843778049903438
random_sample_2600_points_seed_123.pkl,2600,123,0.8855049726348496
random_sample_2600_points_seed_1234.pkl,2600,1234,0.8852010186368039
random_sample_2600_points_seed_1415.pkl,2600,1415,0.8845191045250838
random_sample_2600_points_seed_42.pkl,2600,42,0.8876171953625565
random_sample_2600_points_seed_456.pkl,2600,456,0.8842606127939084
random_sample_2600_points_seed_5678.pkl,2600,5678,0.8855336647599645
random_sample_2600_points_seed_789.pkl,2600,789,0.8861736477953102
random_sample_2600_points_seed_9101.pkl,2600,9101,0.8898202943934389
random_sample_260_points_seed_1.pkl,260,1,0.7921378820245264
random_sample_260_points_seed_1213.pkl,260,1213,0.7974870333346062
random_sample_260_points_seed_123.pkl,260,123,0.7870783572616215
random_sample_260_points_seed_1234.pkl,260,1234,0.7872866657911597
random_sample_260_points_seed_1415.pkl,260,1415,0.7976773030019793
random_sample_260_points_seed_42.pkl,260,42,0.8107853350841041
random_sample_260_points_seed_456.pkl,260,456,0.7805552830905105
random_sample_260_points_seed_5678.pkl,260,5678,0.7983127096538944
random_sample_260_points_seed_789.pkl,260,789,0.7906016865887758
random_sample_260_points_seed_9101.pkl,260,9101,0.7935842426408621
random_sample_2700_points_seed_1.pkl,2700,1,0.8882175263034142
random_sample_2700_points_seed_1213.pkl,2700,1213,0.8843966728875061
random_sample_2700_points_seed_123.pkl,2700,123,0.8863405900585151
random_sample_2700_points_seed_1234.pkl,2700,1234,0.8859336169810917
random_sample_2700_points_seed_1415.pkl,2700,1415,0.8852715732934805
random_sample_2700_points_seed_42.pkl,2700,42,0.8875530661858493
random_sample_2700_points_seed_456.pkl,2700,456,0.8848162096839848
random_sample_2700_points_seed_5678.pkl,2700,5678,0.8861987132715519
random_sample_2700_points_seed_789.pkl,2700,789,0.8875992607885205
random_sample_2700_points_seed_9101.pkl,2700,9101,0.8905261015316097
random_sample_270_points_seed_1.pkl,270,1,0.7862698526633847
random_sample_270_points_seed_1213.pkl,270,1213,0.7971607913873661
random_sample_270_points_seed_123.pkl,270,123,0.7820156832755067
random_sample_270_points_seed_1234.pkl,270,1234,0.7909498330822146
random_sample_270_points_seed_1415.pkl,270,1415,0.7978429259975568
random_sample_270_points_seed_42.pkl,270,42,0.8153524213468751
random_sample_270_points_seed_456.pkl,270,456,0.7834428343440302
random_sample_270_points_seed_5678.pkl,270,5678,0.8027046957321211
random_sample_270_points_seed_789.pkl,270,789,0.7964433820802114
random_sample_270_points_seed_9101.pkl,270,9101,0.7912347955393618
random_sample_2800_points_seed_1.pkl,2800,1,0.8878196174398657
random_sample_2800_points_seed_1213.pkl,2800,1213,0.885505251008809
random_sample_2800_points_seed_123.pkl,2800,123,0.8867265791907448
random_sample_2800_points_seed_1234.pkl,2800,1234,0.8870076888390616
random_sample_2800_points_seed_1415.pkl,2800,1415,0.8857911607310865
random_sample_2800_points_seed_42.pkl,2800,42,0.8875746269197873
random_sample_2800_points_seed_456.pkl,2800,456,0.8867784814707668
random_sample_2800_points_seed_5678.pkl,2800,5678,0.886607970185577
random_sample_2800_points_seed_789.pkl,2800,789,0.8873908863378709
random_sample_2800_points_seed_9101.pkl,2800,9101,0.8915349120910122
random_sample_280_points_seed_1.pkl,280,1,0.7873428191256417
random_sample_280_points_seed_1213.pkl,280,1213,0.7979655388054382
random_sample_280_points_seed_123.pkl,280,123,0.7823581972423475
random_sample_280_points_seed_1234.pkl,280,1234,0.7924205915117175
random_sample_280_points_seed_1415.pkl,280,1415,0.7982745084975424
random_sample_280_points_seed_42.pkl,280,42,0.8168553448215499
random_sample_280_points_seed_456.pkl,280,456,0.7906321037236146
random_sample_280_points_seed_5678.pkl,280,5678,0.8039296337873356
random_sample_280_points_seed_789.pkl,280,789,0.7979371303505401
random_sample_280_points_seed_9101.pkl,280,9101,0.7759342880354725
random_sample_2900_points_seed_1.pkl,2900,1,0.8886427322529619
random_sample_2900_points_seed_1213.pkl,2900,1213,0.8861779592778856
random_sample_2900_points_seed_123.pkl,2900,123,0.8873769952147101
random_sample_2900_points_seed_1234.pkl,2900,1234,0.887546543782199
random_sample_2900_points_seed_1415.pkl,2900,1415,0.8858585078507996
random_sample_2900_points_seed_42.pkl,2900,42,0.8885116873301835
random_sample_2900_points_seed_456.pkl,2900,456,0.8879858505812664
random_sample_2900_points_seed_5678.pkl,2900,5678,0.887648983119586
random_sample_2900_points_seed_789.pkl,2900,789,0.8875275531182226
random_sample_2900_points_seed_9101.pkl,2900,9101,0.8919275868246327
random_sample_290_points_seed_1.pkl,290,1,0.8044433485340072
random_sample_290_points_seed_1213.pkl,290,1213,0.77095651091532
random_sample_290_points_seed_123.pkl,290,123,0.7845334495977
random_sample_290_points_seed_1234.pkl,290,1234,0.7970824664550655
random_sample_290_points_seed_1415.pkl,290,1415,0.765679714462484
random_sample_290_points_seed_42.pkl,290,42,0.8160468639333779
random_sample_290_points_seed_456.pkl,290,456,0.7955037104111665
random_sample_290_points_seed_5678.pkl,290,5678,0.8040411061528452
random_sample_290_points_seed_789.pkl,290,789,0.7953223313734941
random_sample_290_points_seed_9101.pkl,290,9101,0.7771860292893336
random_sample_3000_points_seed_1.pkl,3000,1,0.8894428560854146
random_sample_3000_points_seed_1213.pkl,3000,1213,0.8861207263597692
random_sample_3000_points_seed_123.pkl,3000,123,0.8888193487290881
random_sample_3000_points_seed_1234.pkl,3000,1234,0.8880561993604987
